Intensity,Wavelength,Spectrum,Ref
80,3000.9478,FeI,NJLT94
50,3008.1382,FeI,NJLT94
40,3020.01,FeII,C74
50,3020.4907,FeI,NJLT94
150,3020.6389,FeI,NJLT94
60,3021.0728,FeI,NJLT94
50,3024.0327,FeI,NJLT94
50,3025.8423,FeI,NJLT94
80,3037.3887,FeI,NJLT94
80,3047.6045,FeI,NJLT94
60,3057.4458,FeI,NJLT94
100,3059.0857,FeI,NJLT94
50,3193.2258,FeI,NJLT94
80,3193.2998,FeI,NJLT94
30,3222.0591,FeI,NJLT94
60,3225.7871,FeI,NJLT94
30,3236.2224,FeI,NJLT94
40,3355.2278,FeI,NJLT94
50,3407.4597,FeI,NJLT94
50,3427.1194,FeI,NJLT94
400P,3440.6060,FeI,NJLT94
250,3440.9888,FeI,NJLT94
100,3443.8765,FeI,NJLT94
120,3465.8606,FeI,NJLT94
200,3475.4502,FeI,NJLT94
50,3476.7019,FeI,NJLT94
250,3490.5740,FeI,NJLT94
50,3497.8406,FeI,NJLT94
30,3521.2612,FeI,NJLT94
40,3526.0408,FeI,NJLT94
30,3541.0833,FeI,NJLT94
40,3554.9246,FeI,NJLT94
40,3558.5151,FeI,NJLT94
100,3565.3789,FeI,NJLT94
120,3570.0977,FeI,NJLT94
80,3570.2542,FeI,NJLT94
600P,3581.1931,FeI,NJLT94
30,3585.3188,FeI,NJLT94
40,3586.9849,FeI,NJLT94
50,3606.6794,FeI,NJLT94
150,3608.8594,FeI,NJLT94
150,3618.7678,FeI,NJLT94
120,3631.4631,FeI,NJLT94
150,3647.8428,FeI,NJLT94
150,3679.9133,FeI,NJLT94
50,3687.4568,FeI,NJLT94
120,3705.5659,FeI,NJLT94
30,3707.9199,FeI,NJLT94
60,3709.2463,FeI,NJLT94
600P,3719.9348,FeI,NJLT94
150,3722.5630,FeI,NJLT94
50,3727.6189,FeI,NJLT94
120,3733.3176,FeI,NJLT94
700P,3734.8638,FeI,NJLT94
600P,3737.1316,FeI,NJLT94
40,3743.3621,FeI,NJLT94
600P,3745.5613,FeI,NJLT94
120,3745.8994,FeI,NJLT94
300P,3748.2622,FeI,NJLT94
400P,3749.4854,FeI,NJLT94
300P,3758.2329,FeI,NJLT94
40,3760.0498,FeI,NJLT94
150,3763.7891,FeI,NJLT94
40,3765.5388,FeI,NJLT94
60,3767.1919,FeI,NJLT94
40,3795.0022,FeI,NJLT94
40,3799.5476,FeI,NJLT94
60,3812.9646,FeI,NJLT94
150,3815.8403,FeI,NJLT94
500P,3820.4253,FeI,NJLT94
250,3824.4436,FeI,NJLT94
150,3825.8811,FeI,NJLT94
120,3827.8225,FeI,NJLT94
100,3834.2224,FeI,NJLT94
50,3840.4375,FeI,NJLT94
80,3841.0481,FeI,NJLT94
250,3856.3716,FeI,NJLT94
500P,3859.9114,FeI,NJLT94
150,3878.5732,FeI,NJLT94
300P,3886.2822,FeI,NJLT94
30,3888.5134,FeI,NJLT94
80,3895.6565,FeI,NJLT94
120,3899.7075,FeI,NJLT94
40,3902.9458,FeI,NJLT94
60,3920.2581,FeI,NJLT94
120,3922.9119,FeI,NJLT94
120,3927.9199,FeI,NJLT94
200,3930.2966,FeI,NJLT94
40,4005.2419,FeI,NJLT94
300P,4045.8125,FeI,NJLT94
150,4063.5942,FeI,NJLT94
120,4071.7380,FeI,NJLT94
40,4132.0581,FeI,NJLT94
80,4143.8682,FeI,NJLT94
30,4202.0293,FeI,NJLT94
40,4216.1836,FeI,NJLT94
30,4250.7871,FeI,NJLT94
80,4260.4746,FeI,NJLT94
120,4271.7607,FeI,NJLT94
120,4282.4028,FeI,NJLT94
120,4307.9023,FeI,NJLT94
150,4325.7622,FeI,NJLT94
80,4375.9302,FeI,NJLT94
200P,4383.5449,FeI,NJLT94
120,4404.7505,FeI,NJLT94
30,4415.1226,FeI,NJLT94
60,4427.2979,FeI,NJLT94
40,4461.6528,FeI,NJLT94
50,4920.5029,FeI,NJLT94
150,4957.5967,FeI,NJLT94
250,5167.4883,FeI,NJLT94
50,5171.5962,FeI,NJLT94
100,5227.1509,FeI,NJLT94
120,5269.5376,FeI,NJLT94
80,5270.3564,FeI,NJLT94
80,5328.0386,FeI,NJLT94
30,5328.5317,FeI,NJLT94
50,5341.0239,FeI,NJLT94
40,5371.4897,FeI,NJLT94
30,5397.1279,FeI,NJLT94
50,6247.56,FeII,RMW44
120,6456.38,FeII,RMW44