Intewnsity,Wavelength,Spectrum,Ref
40,3013.7,HeI,BDD72
20,3187.74,HeI,M60a
15c,3203.10,HeII,GM65
1,3354.55,HeI,M60a
2,3447.59,HeI,M60a
1,3587.27,HeI,M60a
3,3613.64,HeI,M60a
2,3634.23,HeI,M60a
3,3705.00,HeI,M60a
1,3732.86,HeI,M60a
10,3819.607,HeI,M60a
1,3819.76,HeI,M60a
60P,3888.6046,HeI,M02
200P,3888.6456,HeI,M02
300P,3888.6489,HeI,M02
20,3964.729,HeI,M60a
1,4009.27,HeI,M60a
50,4026.191,HeI,M60a
5,4026.36,HeI,M60a
12,4120.82,HeI,M60a
2,4120.99,HeI,M60a
3,4143.76,HeI,M60a
10,4387.929,,HeI,M60a
3,4437.55,HeI,M60a
200,4471.479,,HeI,M60a
25,4471.68,HeI,M60a
4P,4685.3769,HeII,MK00b
3P,4685.4072,HeII,MK00b
15*P,4685.7038,HeII,MK00b
15*P,4685.7044,HeII,MK00b
12Pc,4685.8041,HeII,MK00b
30,4713.146,HeI,M60a
4,4713.38,HeI,M60a
20,4921.931,HeI,M60a
100,5015.678,HeI,M60a
10,5047.74,HeI,M60a
5c,5411.52,HeII,GM65
500P,5875.6148,HeI,M02
250P,5875.6404,HeI,M02
120P,5875.9663,HeI,M02
8c,6560.10,HeII,GM65
200P,6678.1517,HeI,M02
3,6867.48,HeI,M60a
100P,7065.1771,HeI,M02
60P,7065.2153,HeI,M02
20P,7065.7086,HeI,M02
50,7281.35,HeI,M60a
1,7816.15,HeI,M60a
2,8361.69,HeI,M60a
2,9063.27,HeI,M60a
2,9210.34,HeI,M60a
10,9463.61,HeI,M60a
4,9516.60,HeI,M60a
3,9526.17,HeI,M60a
1,9529.27,HeI,M60a
1,9603.42,HeI,M60a
3,9702.60,HeI,M60a